museum,title,date,url,description,scraped_at
The Met,Man Ray: When Objects Dream,Man Ray: When Objects Dream,https://www.metmuseum.org/exhibitions/man-ray-when-objects-dream,This volume is the first in-depth study of Man Ray’s groundbreaking rayographs of the 1920s and their interconnections with his Dada and Surrealist works.,2025-09-29T00:29:23.679727
The Met,Superfine: Tailoring Black Style,Superfine: Tailoring Black Style,https://www.metmuseum.org/exhibitions/superfine-tailoring-black-style,,2025-09-29T00:29:23.679727
The Met,"The Roof Garden Commission: Jennie C. Jones, Ensemble","The Roof Garden Commission: Jennie C. Jones, Ensemble",https://www.metmuseum.org/exhibitions/the-roof-garden-commission-jennie-c-jones,"This title, the latest in The Met’s Roof Garden Commission series, documents multimedia artist Jennie C. Jones’s dynamic installation.",2025-09-29T00:29:23.679727
The Met,"Recasting the Past: The Art of Chinese Bronzes, 1100–1900","Recasting the Past: The Art of Chinese Bronzes, 1100–1900",https://www.metmuseum.org/exhibitions/recasting-the-past-the-art-of-chinese-bronzes-1100-1900,"This title is the first comprehensive study of the often-overlooked Chinese bronzes, which were commissioned by emperors and officials from the twelfth through the nineteenth centuries to assert political legitimacy and alignment with traditional values.",2025-09-29T00:29:23.679727
The Met,Allegory and Abstraction: Selections from the Department of Drawings and Prints,Allegory and Abstraction: Selections from the Department of Drawings and Prints,https://www.metmuseum.org/exhibitions/allegory-and-abstraction-selections-from-the-department-of-drawings-and-prints,"The Department of Drawings and Prints boasts more than one million drawings, prints, and illustrated books made in Europe and the Americas from around 1400 to the present day. Because of their number and sensitivity to light, the works can only be exhibited for a limited period. To highlight the vast range of works on paper, the department organizes four rotations a year in the Robert Wood Johnson, Jr. Gallery. Each installation is the product of a collaboration among curators and consists of up",2025-09-29T00:29:23.679727
The Met,"The Genesis Facade Commission: Jeffrey Gibson, The Animal That Therefore I Am","The Genesis Facade Commission: Jeffrey Gibson, The Animal That Therefore I Am",https://www.metmuseum.org/exhibitions/the-facade-commission-jeffrey-gibson,"Acclaimed artist Jeffrey Gibson (born 1972) invites reflection on the interconnected relationships between all living beings and the environment for the 2025 Genesis Facade Commission. Drawing from his distinctive style fusing Indigenous worldviews and imagery with abstraction, text, and color, Gibson will create four-large scale figurative sculptures for The Met Fifth Avenue’s exterior.",2025-09-29T00:29:23.679727
The Met,Man Ray: When Objects Dream,Man Ray: When Objects Dream,https://www.metmuseum.org/exhibitions/man-ray-when-objects-dream,This volume is the first in-depth study of Man Ray’s groundbreaking rayographs of the 1920s and their interconnections with his Dada and Surrealist works.,2025-09-29T00:29:23.679727
The Met,Witnessing Humanity: The Art of John Wilson,Witnessing Humanity: The Art of John Wilson,https://www.metmuseum.org/exhibitions/witnessing-humanity-the-art-of-john-wilson,"For over six decades, the American artist John Wilson (1922–2015) made powerful and poetic works that captured his life as a Black American artist and his ongoing quest for racial, social, and economic justice. Wilson's art reflected on and responded to the turbulent times in which he lived. His subjects included racial violence, labor, the writings of Richard Wright, the Civil Rights Movement, street scenes, and intimate images of family life, with a particular focus on fatherhood. Despite the ",2025-09-29T00:29:23.679727
The Met,"Recasting the Past: The Art of Chinese Bronzes, 1100–1900","Recasting the Past: The Art of Chinese Bronzes, 1100–1900",https://www.metmuseum.org/exhibitions/recasting-the-past-the-art-of-chinese-bronzes-1100-1900,"This title is the first comprehensive study of the often-overlooked Chinese bronzes, which were commissioned by emperors and officials from the twelfth through the nineteenth centuries to assert political legitimacy and alignment with traditional values.",2025-09-29T00:29:23.679727
The Met,The Magic of Marbling: The Art of Karli Frigge,The Magic of Marbling: The Art of Karli Frigge,https://www.metmuseum.org/exhibitions/the-magic-of-marbling-the-art-of-karli-frigge,"Karli Frigge (1943–) is one of the world’s most prominent and innovative paper marblers. From 1960 to 2000 she produced marbled papers and publications that are renowned for their innovation and creativity. The Magic of Marbling: The Art of Karli Frigge presents selections from Watson Library’s collection of her work including her sample books, recipe books, instruction guides, and workbooks.",2025-09-29T00:29:23.679727
